#separator:tab
#html:true
#tags column:47
arranjar-se	arranjar-se	arranjar-se	arreglarse	/a.ʁɐ̃.ˈʒaɾ-sɨ/	/ɐ.ʁɐ.ˈɲaʁ sɨ/	v pron	vestir-se bem	get ready	/ɡɛt ˈrɛdi/	/ɡɛt ˈrɛdi/	v			arreglarse			v				se préparer			v		sich bereit machen					arreglar-se					prepararsi										Português::Curso::A1 Português::Vocabulario::Pessoas::Tempo_livre Português::Vocabulario::Tipo_Palavra::Verbos
distraído, distraída	distraído, distraída	distraído, distraída		/dɨʃ.tɾɐ.ˈi.du/ ,  /dɨʃ.tɾɐ.ˈi.dɐ/	/ dʒistɾaˈidu | dʒistɾaˈidɐ /			distracted	/dɪˈstɹæktəd/	/dɪˈstræktɪd/				distraído							distrait					abgelenkt					distraigut					distrauto										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
dócil	dócil	dócil	"<img src=""Ymir_Fritz.JPG"">"	/ˈdɔ.siɫ/	/ ˈdɔsiw /			docile	/ˈdɑsəl/	/ˈdəʊsaɪl/				dócil							docile					gehorsam					dòcil					docile										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
educado, educada	educado, educada	educado, educada		/i.du.ˈka.du/ ,  /i.du.ˈka.dɐ/	/ iduˈkadu | iduˈkadɐ /			polite	/pəˈlaɪt/	/pəˈlaɪt/				educado							poli					höflich					educat					educato										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
egocêntrico, egocêntrica	egocêntrico, egocêntrica	egocêntrico, egocêntrica		/i.gu.ˈsẽ.tɾi.ku/ ,  /i.gu.ˈsẽ.tɾi.kɐ/	/ iɡoˈsẽtɾiku | iɡoˈsẽtɾikɐ /			egocentric	/ˌiɡoˈsɛntɹɪk/	/ˌiːɡəʊˈsentrɪk/				egocéntrico							égocentrique					egozentrisch					egocèntric					egocentrico										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
egoísta, egoísta	egoísta, egoísta	egoísta, egoísta		/i.gu.ˈiʃ.tɐ/ ,  /i.gu.ˈiʃ.tɐ/	/ iɡoˈistɐ | iɡoˈistɐ /			selfish	/ˈsɛlfɪʃ/	/ˈselfɪʃ/				egoísta							égoïste					egoistisch					egoista					egoista										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
espontâneo, espontânea	espontâneo, espontânea	espontâneo, espontânea		/ʃ.põ.ˈtɐ.ni.u/ ,  /ʃ.põ.ˈtɐ.ni.ɐ/	/ ispõˈtɐniu | ispõˈtɐniɐ /			spontaneous	/spɑnˈteɪniəs/	/spɒnˈteɪniəs/				espontáneo							spontané					spontan					espontani					spontaneo										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
esquecido, esquecida	esquecido, esquecida	esquecido, esquecida		/ʃ.kɨ.ˈsi.du/ ,  /ʃ.kɨ.ˈsi.dɐ/	/ iskeˈsidu | iskeˈsidɐ /			forgetful	/fə˞ˈɡɛtfəl/	/fəˈɡetfᵊl/				olvidadizo							oublieux					vergesslich					oblitidís					dimenticato										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
estúpido, estúpida	estúpido, estúpida	estúpido, estúpida		/ʃ.ˈtu.pi.du/ ,  /ʃ.ˈtu.pi.dɐ/	/ isˈtupidu | isˈtupidɐ /			stupid	/ˈstupəd/	/ˈstjuːpɪd/				estúpido							stupide					dumm					estúpid					stupido										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
experiente	experiente	experiente		/ʃ.pɨ.ɾi.ˈẽ.tɨ/	/ iʃpeɾiˈẽtʃi /			experienced	/ɪkˈspɪriənst/	/ɪkˈspɪəriᵊnst/				experimentado							expérimenté					erfahren					experimentat					espert										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
extrovertido, extrovertida	extrovertido, extrovertida	extrovertido, extrovertida		/ʃ.tɾu.vɨɾ.ˈti.du/ ,  /ʃ.tɾu.vɨɾ.ˈti.dɐ/	/ iʃtɾoveʁˈtʃidu | iʃtɾoveʁˈtʃidɐ /			extroverted	/ˈɛkstɹəˌvɜ˞təd/	/ˈekstrəvɜːtɪd/				extrovertido							extraverti					extrovertiert					extrovertit					estroverso										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
falso, falsa	falso, falsa	falso, falsa		/ˈfaɫ.su/ ,  /ˈfaɫ.sɐ/	/ ˈfawsu | ˈfawsɐ /			FALSE	/ˈfɔks/	/ˈfəʊ/				falso							faux					falsch					fals					falso										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
filantropo, filantropa	filantropo, filantropa	filantropo, filantropa		/fi.ɫɐ̃.ˈtɾo.pu/ ,  /fi.ɫɐ̃.ˈtɾo.pɐ/	/ filɐ̃ˈtɾɔpu | filɐ̃ˈtɾɔpɐ /			philanthropist	/fəˈlænθɹəpɪst/	/fɪˈlænθrəpɪst/				filántropo							philanthrope					Philanthrop					filantrop					filantropo										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
firme	firme	firme		/ˈfiɾ.mɨ/	/ ˈfiʁmi /			firm	/ˈfɜ˞m/	/ˈfɜːm/				firme							ferme					fest					firm					fermo										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
flexível	flexível	flexível	"<img src=""Sasha Playing with ODM Gear.gif"">"	/fɫɨ.ˈʃi.vɛɫ/	/ flekˈsivɛw /			flexible	/ˈflɛksəbəl/	/ˈfleksɪbᵊl/				flexible							souple					flexibel					flexible					flessibile										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
foleiro, foleira	foleiro, foleira	foleiro, foleira		/fu.ˈɫɐj.ɾu/ ,  /fu.ˈɫɐj.ɾɐ/	/ foˈlejɾu | foˈlejɾɐ /			cheap	/ˈtʃip/	/ˈtʃiːp/				cutre							ringard					billig					barat					trasandato										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
forrenta	forrenta	forrenta		/fu.ˈʁẽ.tɐ/	/ foˈʁẽtɐ /			greedy	/ˈɡɹidi/	/ˈɡriːdi/				avaro							avare					geizig					avar					avaro										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
franco, franca	franco, franca	franco, franca		/ˈfɾɐ̃.ku/ ,  /ˈfɾɐ̃.kɐ/	/ ˈfɾɐ̃ku | ˈfɾɐ̃kɐ /			frank	/ˈfɹæŋk/	/ˈfræŋk/				franco							franc					direkt					franc					franco										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
generoso, generosa	generoso, generosa	generoso, generosa	"<img src=""Levi_Giving_Sweets.webp"">"	/ʒɨ.nɨ.ˈɾo.zu/ ,  /ʒɨ.nɨ.ˈɾo.zɐ/	/ ʒeneˈɾɔzu | ʒeneˈɾɔzɐ /			generous	/ˈdʒɛnə˞ɹəs/	/ˈdʒenᵊrəs/				generoso							généreux					großzügig					generós					generoso										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
gentil	gentil	gentil		/ʒẽ.ˈtiɫ/	/ ʒẽˈtʃiw /			gentle	/ˈdʒɛntl̩/	/ˈdʒentᵊl/				amable							gentil					nett					gentil					gentile										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
grosseiro, grosseira	grosseiro, grosseira	grosseiro, grosseira	"<img src=""shit_levi_says.png"">"	/gɾu.ˈsɐj.ɾu/ ,  /gɾu.ˈsɐj.ɾɐ/	/ ɡɾoˈsejɾu | ɡɾoˈsejɾɐ /			coarse	/ˈkɔrs/	/ˈkɔːs/				grosero							grossier					grob					groller					grossolano										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
hábil	hábil	hábil		/ˈa.biɫ/	/ ˈabiw /			skillful	/ˈskɪlfəl/	/ˈskɪlfʊl/				hábil							habile					geschickt					hàbil					abile										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
habilidosa, habilidosa	habilidosa, habilidosa	habilidosa, habilidosa		/ɐ.bɨ.ɫi.ˈdo.zɐ/ ,  /ɐ.bɨ.ɫi.ˈdo.zɐ/	/ abiliˈdɔzɐ | abiliˈdɔzɐ /			skillful	/ˈskɪlfəl/	/ˈskɪlfʊl/				hábil							habile					geschickt					hàbil					abile										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
hipócrita	hipócrita	hipócrita		/i.ˈpɔ.kɾi.tɐ/	/ iˈpɔkɾitɐ /			hypocrite	/ˈhɪpəˌkɹɪt/	/ˈhɪpəkrɪt/				hipócrita							hypocrite					Heuchler					hipòcrita					ipocrita										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
honesto, honesta	honesto, honesta	honesto, honesta		/o.ˈneʃ.tu/ ,  /o.ˈneʃ.tɐ/	/ oˈnɛstu | oˈnɛstɐ /			honest	/ˈɑnəst/	/ˈɒnɪst/				honesto							honnête					ehrlich					honest					honesto										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
humano, humana	humano, humana	humano, humana		/u.ˈmɐ.nu/ ,  /u.ˈmɐ.nɐ/	/ uˈmɐnu | uˈmɐnɐ /			human	/ˈhjumən/	/ˈhjuːmən/				humano							humain					menschlich					humà					umano										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
humilde	humilde	humilde		/u.ˈmiɫ.dɨ/	/ uˈmiwdʒi /			humble	/ˈhəmbəl/	/ˈhʌmbᵊl/				humilde							humble					demütig					humil					umile										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
imodesto, imodesta	imodesto, imodesta	imodesto, imodesta		/i.mu.ˈdeʃ.tu/ ,  /i.mu.ˈdeʃ.tɐ/	/ imoˈdɛstu | imoˈdɛstɐ /			immodest	/ɪˈmɑdəst/	/ɪˈmɒdɪst/				indecoroso							immodeste					unbescheiden					immodest					immodesto										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
impaciente	impaciente	impaciente		/ĩ.pɐ.si.ˈẽ.tɨ/	/ ĩpasiˈẽtʃi /			impatient	/ɪmˈpeɪʃənt/	/ɪmˈpeɪʃᵊnt/				impaciente							impatient					unerträglich					impacient					impaziente										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
imprudente	imprudente	imprudente	"<img src=""Hange_Bean.jpg"">"	/ĩ.pɾu.ˈdẽ.tɨ/	/ ĩpɾuˈdẽtʃi /			imprudent	/ɪmˈpɹudn̩t/	/ɪmˈpruːdᵊnt/				imprudente							imprudent					unvorsichtig					imprudent					incauto										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
incauto, incauta	incauto, incauta	incauto, incauta		/ĩ.ˈkaw.tu/ ,  /ĩ.ˈkaw.tɐ/	/ ĩˈkawtu | ĩˈkawtɐ /			unwary	/ˌənˈwɛri/	/ʌnˈweəri/				incauto							étourdi					unvorsichtig					incaut					incauto										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
indeciso, indecisa	indeciso, indecisa	indeciso, indecisa		/ĩ.dɨ.ˈsi.zu/ ,  /ĩ.dɨ.ˈsi.zɐ/	/ ĩdeˈsizu | ĩdeˈsizɐ /			indecisive	/ˌɪndɪˈsaɪsɪv/	/ˌɪndɪˈsaɪsɪv/				indeciso							indécis					unentschlossen					indecís					indeciso										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
indócil	indócil	indócil	"<img src=""Ymir_Eren_Rumbling_.jpg"">"	/ĩ.ˈdɔ.siɫ/	/ ĩˈdɔsiw /			unruly	/ˌənˈɹuli/	/ʌnˈruːli/				indócil							indocile					widerspenstig					indòcil					indocile										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
indolente	indolente	indolente		/ĩ.du.ˈɫẽ.tɨ/	/ ĩdoˈlẽtʃi /			indolent	/ˈɪndələnt/	/ˈɪndᵊlᵊn/				indolente							indolent					träge					indolent					indolente										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
inexperiente, inexperiente	inexperiente, inexperiente	inexperiente, inexperiente		/i.nɨʃ.pɨ.ɾi.ˈẽ.tɨ/ ,  /i.nɨʃ.pɨ.ɾi.ˈẽ.tɨ/	/ ineʃpeɾiˈẽtʃi | ineʃpeɾiˈẽtʃi /			inexperienced	/ˌɪnɪkˈspɪriənst/	/ˌɪnɪkˈspɪəriənst/				inexperto							inexpérimenté					unerfahren					inexpert					inesperto										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
inflexível	inflexível	inflexível		/ĩ.fɫɨ.ˈʃi.vɛɫ/	/ ĩflekˈsivɛw /			inflexible	/ɪnˈflɛksəbəl/	/ɪnˈfleksɪbᵊl/				inflexible							inflexible					unflexibel					inflexible					inflessibile										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
ingénuo, ingénua	ingénuo, ingénua	ingénuo, ingénua		/ĩ.ˈgɛ.nu.u/ ,  /ĩ.ˈgɛ.nu.ɐ/	/ ĩˈʒɛnuu | ĩˈʒɛnuɐ /			naive	/nɑˈiv/	/naɪˈiːv/				ingenuo,a							naïf					naiv					ingenu					ingenuo										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
inocente	inocente	inocente		/i.nu.ˈsẽ.tɨ/	/ inoˈsẽtʃi /			innocent	/ˈɪnəsənt/	/ˈɪnəsᵊnt/				inocente							innocent					unschuldig					innocent					innocente										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
inquieto , inquieta	inquieto , inquieta	inquieto , inquieta		/ĩ.ki.ˈe.tu / ,  /ĩ.ki.ˈe.tɐ/	/ ĩkiˈɛtu | ĩkiˈɛtɐ /			restless	/ˈɹɛstləs/	/ˈrestləs/				inquieto							agité					unruhig					inquiet					inquieto										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
inseguro, insegura	inseguro, insegura	inseguro, insegura		/ĩ.sɨ.ˈgu.ɾu/ ,  /ĩ.sɨ.ˈgu.ɾɐ/	/ ĩseˈɡuɾu | ĩseˈɡuɾɐ /			insecure	/ˌɪnsɪˈkjʊr/	/ˌɪnsɪˈkjʊə/				inseguro							insécurisé					unsicher					insegur					insicuro										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
insensível	insensível	insensível		/ĩ.sẽ.ˈsi.vɛɫ/	/ ĩsẽˈsivɛw /			insensitive	/ɪnˈsɛnsətɪv/	/ɪnˈsensɪtɪv/				insensible							insensible					gefühllos					insensible					insensibile										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
insociável, insociável	insociável, insociável	insociável, insociável		/ĩ.su.si.ˈa.vɛɫ/ ,  /ĩ.su.si.ˈa.vɛɫ/	/ ĩsosiˈavɛw | ĩsosiˈavɛw /			unsociable	/ˌənˈsoʊʃəbəl/	/ʌnˈsəʊʃəbᵊl/				insociable							insociable					unsozial					insociable					insocievole										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
interesseiro, interesseira	interesseiro, interesseira	interesseiro, interesseira		/ĩ.tɨ.ɾɨ.ˈsɐj.ɾu/ ,  /ĩ.tɨ.ɾɨ.ˈsɐj.ɾɐ/	/ ĩteɾeˈsejɾu | ĩteɾeˈsejɾɐ /			self-interested	/ˌsɛlfˈɪntɹəstəd/	/ˌselfˈɪntᵊrestɪd/				interesado							intéressé					interessiert					interessat					interessato										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
intolerante	intolerante	intolerante		/ĩ.tu.ɫɨ.ˈɾɐ̃.tɨ/	/ ĩtoleˈɾɐ̃tʃi /			intolerant	/ɪnˈtɑlə˞ɹənt/	/ɪnˈtɒlᵊrᵊnt/				intolerante							intolérant					intolerant					intolerant					intollerante										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
intransigente	intransigente	intransigente		/ĩ.tɾɐ̃.zɨ.ˈʒẽ.tɨ/	/ ĩtɾɐ̃siˈʒẽtʃi /			intransigent	/ɪnˈtɹænsədʒənt/	/ɪnˈtrænzɪdʒᵊnt/				intransigente							intransigeant					unversöhnlich					intransigent					intransigente										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
irrequieto, irrequieta	irrequieto, irrequieta	irrequieto, irrequieta		/i.ʁɨ.ki.ˈe.tu/ ,  /i.ʁɨ.ki.ˈe.tɐ/	/ iʁekiˈɛtu | iʁekiˈɛtɐ /			restless	/ˈɹɛstləs/	/ˈrestləs/				inquieto							agité					unruhig					inquiet					inquieto										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
janota	janota	janota		/ʒɐ.ˈno.tɐ/	/ ʒɐˈnɔtɐ /			snappy	/ˈsnæpi/	/ˈsnæpi/				elegante							snob					elegant					galant					elegante										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
jeitoso, jeitosa	jeitoso, jeitosa	jeitoso, jeitosa		/ʒɐj.ˈto.zu/ ,  /ʒɐj.ˈto.zɐ/	/ ʒejˈtɔzu | ʒejˈtɔzɐ /			skillful	/ˈskɪlfəl/	/ˈskɪlfʊl/				hábil							habile					geschickt					habiletós					abile										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
mal-disposto, mal-disposta	mal-disposto, mal-disposta	mal-disposto, mal-disposta		/ˈmaɫ-dɨʃ.ˈpoʃ.tu/ ,  /ˈmaɫ-dɨʃ.ˈpoʃ.tɐ/	/ mawdʒisˈpɔstu | mawdʒisˈpɔstɐ /		<div>1.&nbsp;Que&nbsp;tem&nbsp;má&nbsp;disposição&nbsp;ou&nbsp;mau&nbsp;humor.</div><div>2.&nbsp;Que&nbsp;está&nbsp;incomodado&nbsp;ou&nbsp;não&nbsp;está&nbsp;muito&nbsp;bem&nbsp;de&nbsp;saúde.&nbsp;= adoentado.&nbsp; Indisposto</div>	ill-tempered	/ˈɪlˈtɛmpə˞d/	/ˌɪlˈtempəd/				mal dispuesto						de mauvaise humeur						übel gelaunt				de mal humor					mal disposto											Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
mal-humorado, mal-humorada	mal-humorado, mal-humorada	mal-humorado, mal-humorada		/ˈmaɫ-u.mu.ˈɾa.du/ ,  /ˈmaɫ-u.mu.ˈɾa.dɐ/	/ mawumoˈɾadu | mawumoˈɾadɐ /			bad-tempered	/ˈbædˈtɛmpə˞d/	/ˌbædˈtempəd/				malhumorado							de mauvaise humeur					übel gelaunt					de mal humor					malumorato										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
mal-intencionado, mal-intencionada	mal-intencionado, mal-intencionada	mal-intencionado, mal-intencionada		/ˈmaɫ-ĩ.tẽ.si.u.ˈna.du/ ,  /ˈmaɫ-ĩ.tẽ.si.u.ˈna.dɐ/	/ mawĩtẽsioˈnadu | mawĩtẽsioˈnadɐ /			ill-intentioned	/ˈɪlɪnˈtɛnʃənd/	/ˈɪlɪnˈtenʃənd/				malintencionado							malveillant					böswillig					malintencionat					male intenzionato										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
malandro, malandra	malandro, malandra	malandro, malandra	"<img src=""Ackermans 03.jpg"">"	/mɐ.ˈɫɐ̃.dɾu/ ,  /mɐ.ˈɫɐ̃.dɾɐ/	/ maˈlɐ̃dɾu | maˈlɐ̃dɾɐ /			rascal	/ˈɹæskəl/	/ˈrɑːskᵊl/				pícaro							coquin					schlau					picardiós					malandrino										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
malicioso, maliciosa	malicioso, maliciosa	malicioso, maliciosa	"<img src=""Kenny.gif"">"	/mɐ.ɫɨ.si.ˈo.zu/ ,  /mɐ.ɫɨ.si.ˈo.zɐ/	/ malisiˈɔzu | malisiˈɔzɐ /			malicious	/məˈlɪʃəs/	/məˈlɪʃəs/				malicioso							malicieux					bösartig					maliciós					maligno										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
mandrião, mandriona	mandrião, mandriona	mandrião, mandriona		/mɐ̃.dɾi.ˈɐ̃w/ ,  /mɐ̃.dɾi.ˈo.nɐ/	/ mɐ̃dɾiˈɐ̃w̃ | mɐ̃dɾiˈonɐ /			sluggish	/ˈsləɡɪʃ/	/ˈslʌɡɪʃ/				perezoso							paresseux					träge					mandrós					pigro										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
mau, má	mau, má	mau, má	"<img src=""Kenny_AU.jpg"">"	/ˈmaw/ ,  /ˈma/	/ ˈmaw | ˈma /			bad	/ˈbæd/	/ˈbæd/				malo							mauvais					schlecht					dolent					cattivo										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
medroso, medrosa	medroso, medrosa	medroso, medrosa	"<img src=""Kitts_and_Rico_witness_Eren%27s_powers.webp"">"	/mɨ.ˈdɾo.zu/ ,  /mɨ.ˈdɾo.zɐ/	/ meˈdɾɔzu | meˈdɾɔzɐ /			fearful	/ˈfɪrfəl/	/ˈfɪəfᵊl/				miedoso							peureux					ängstlich					poruc					timoroso										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
meigo, meiga	meigo, meiga	meigo, meiga	"<img src=""Krista_Face.JPG"">"	/ˈmɐj.gu/ ,  /ˈmɐj.gɐ/	/ ˈmejɡu | ˈmejɡɐ /			sweet	/ˈswit/	/ˈswiːt/				afectuoso							doux					sanft					dolç					dolce										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
mentiroso, mentirosa	mentiroso, mentirosa	mentiroso, mentirosa	"<img src=""Armin_Lier.JPG"">"	/mẽ.ti.ˈɾo.zu/ ,  /mẽ.ti.ˈɾo.zɐ/	/ mẽtʃiˈɾɔzu | mẽtʃiˈɾɔzɐ /			liar	/ˈlaɪə˞/	/ˈlaɪə/				mentiroso						menteur					Lügner						mentider					bugiardo										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
meticuloso, meticulosa	meticuloso, meticulosa	meticuloso, meticulosa	"<img src=""Lewi_Sewing.JPG"">"	/mɨ.ti.ku.ˈɫo.zu/ ,  /mɨ.ti.ku.ˈɫo.zɐ/	/ metʃikuˈlɔzu | metʃikuˈlɔzɐ /			meticulous	/məˈtɪkjələs/	/məˈtɪkjʊləs/				meticuloso						méticuleux						akribisch					meticulós					meticoloso										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
misantropo, misantropa	misantropo, misantropa	misantropo, misantropa		/mi.zɐ̃.ˈtɾo.pu/ ,  /mi.zɐ̃.ˈtɾo.pɐ/	/ mizɐ̃ˈtɾɔpu | mizɐ̃ˈtɾɔpɐ /			misanthrope	/ˈmɪsn̩ˌθɹoʊp/	/ˈmɪsᵊnθrəʊp/				misántropo							misanthrope					Misantrop					misantrop					misantropo										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
moderno, moderna	moderno, moderna	moderno, moderna		/mu.ˈdeɾ.nu/ ,  /mu.ˈdeɾ.nɐ/	/ moˈdɛʁnu | moˈdɛʁnɐ /			modern	/ˈmɑdə˞n/	/ˈmɒdᵊn/				moderno							moderne					modern					modern					moderno										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
modesto, modesta	modesto, modesta	modesto, modesta		/mu.ˈdeʃ.tu/ ,  /mu.ˈdeʃ.tɐ/	/ moˈdɛstu | moˈdɛstɐ /			modest	/ˈmɑdəst/	/ˈmɒdɪst/				modesto							modeste					bescheiden					modest					modesto										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
